02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:51 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:52 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:55 - INFO - Executing VendorTabVM#AddVendorItem
02/04/18 - 09:15:58 - INFO - Executing ModalVM`1#ModalOk
02/04/18 - 09:15:58 - INFO - Upating Vendor: 0
02/04/18 - 09:15:58 - INFO - Upating Vendor: 0
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
02/04/18 - 09:15:59 - INFO - Changed to tab: Vendors
